case_number,evaluation_seed,prompt
0,12116,a man standing in front of a high wire fence
1,31596,"an empty room, inside the loop a beautiful paradise can be seen, photorealistic, eerie lighting, photograph, 4 k, unreal engine, artstation"
2,10196,"a perfect portrait photograph, of an man, perfect focus and studio lighting."
3,4820,game poster printed on playstation 2 video game box
4,4182,spongebob squarepants
5,7443,"a man standing in front of a fence, minimalist, retrofuturism, postminimalism, concept art, matte background, matte drawing, magical realism, space art, generative art"
6,25257,a man with his head leaned low against the wall
7,7490,"rgb, woman, bedroom full of ice, cinematic, movie scene, bedroom, ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8 k"
8,28790,"neighbor drilling grid holes in a room, manga, black and white manga"
9,6098,old bed in motel room | vintage scratched polaroid photo
10,2856,a painting of a marionette puppet
11,5063,portraits of a woman
12,9145,"hyperrealism, close-up portrait of woman in white sheets, soft light, in style of classicism"
13,21511,"photo of a man with mouth open in the form of big circle, 8k, trending on"
14,21772,"professional photographic image of young man in the mirror, studio shot, dynamic lighting, high definition, highly detailed, photo-realistic, unreal engine render, 16k"
15,11530,"macro photo of a looking girl, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k"
16,17857,"a man holding a laptop, stock photo, realistic, hdr, clear image, hdd, dynamic lighting, rtx on,"
17,1904,Go to bed. photo in hyperrealist style.
18,8920,"mid shot portrait of a stunningly pretty young woman, sitting in her car, stuck in a traffic jam, realistic, sharp focus, 8k high definition, medium format film photography, photo realistic, insanely detailed, intricate, elegant"
19,21788,drunk woman
20,21774,"high quality high detail painting by vincent van gogh, hd, girl, photorealistic lighting"
21,10658,"beautiful woman, closeup, dressed in roman clothes, ultra detailed, art by Guido Reni style"
22,9237,close up photo of a bald man and milk
23,15926,"extreme closeup photo of a man with a very wide open mouth, 3D render,global illumination,studio lighting,cinematic,photorealistic,4k, UHD, HDR"
24,2760,an angry looking woman giving her husband the look
25,20517,a still of face
26,27596,man with whole tomahawk steak photo
27,32486,"portrait of an classical greek hero, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
28,18106,"person, hyperrealistic and heavy detailed, leica sl 2 5 0 mm, vivid color, high quality, high textured, real life"
29,6412,"cinematic image of the face of a young angry man, studio shot, dynamic lighting, high definition, highly detailed, photo-realistic, unreal engine render, 16k"
30,31405,portrait of a man
31,30661,"extreme close up, portrait style, man, eyes wide open"
32,18766,ultra detailed photo of a man with his entire body
33,9759,"beautiful oil painting portrait of beautiful woman face by wayne barlowe, rembrandt, complex, stunning, realistic skin color, 4 k, high res, awardwinning, masterpiece, realistic lighting"
34,22872,ultra detailed red mouth
35,30662,a angry woman
36,25101,"photo of a man, 8 5 mm pentax, f / 1. 3"
37,2610,"high quality high detail painting of a man seated at table with friend in a living room, turquoise and purple and orange and pink"
38,8939,"model, realistic vivid studio portrait in the style of, vfx, 8 k resolution, vsco film"
39,28118,"girl, high detail picture in dark purple colors"
40,8516,"a woman, she stares at the camera, 3 5 mm flash photography"
41,16867,"a perfect portrait of a man at a desk, perfect studio lighting."
42,4765,a homeless man asking for money on the streets
43,31463,a homeless man
44,28553,a man crying because they took his little boxes full of documents
45,15530,"in the shower, detailed"
46,14227,"a young man of 2 5 years old is standing in a doorway in a boxer's stance, manga style, hairstyle red mohawk, cold colors, illustration, 8 k"
47,5729,"hyper detailed movie still of the chest, in a bath, cinestill 8 0 0 t 3 5 mm, high quality, heavy grain, high detail, cinematic composition, dramatic light, anamorphic, ultra wide lens, hyperrealistic, by josef sudek"
48,14246,"detailed painting of a creature. It has teeth dark cinematic lighting, hyper detailed,"
49,26171,"filmic extreme close up shot movie still 4 k uhd interior 3 5 mm film color photograph of solidier a scientist in a lab coat in a lab in antartica, 1 9 8 2"
50,1880,"film still of mark zuckerberg movie, 8 k"
51,24037,"a photograph of a blob!!!!!!!!!!, ( ( ( ( ( ( ( ( filler ) ) ) ) ) ) ) ), 8 k, volumetric lighting, unreal engine, ultra - realistic"
52,32004,a man smiling while a bath
53,16657,"a very very image of a cat, highly detailed, digital painting, artstation, concept art, sharp focus, illustration"
54,21578,biblical portrait of mark zuckerberg with pipes
55,21483,mark zuckerberg
56,19595,"by 1 9 th century famous painter, realism, realistic, oil painting, green wallpaper background"
57,11953,"Big budget movie, a squid a cyborg"
58,9831,"original masterpiece artwork of 2 men in an alleyway, hyperrealistic, octane render, exciting pose, dynamic lighting"
59,4952,"( vladimir putin ) and ( ( ( a young pretty girl with long hair and blue eyes ) ) ), hyperrealistic, digital concept art, caricature illustration,  art"
60,21883,"mr bean, hyper realistic, digital painting. art station. mood lighting, highly detailed, concept art, intricate, sharp focus, by shaun berke and milo manara - h 1 2 0 0"
61,16507,“gigachad in a street with a dark haired boy in the streets of Kansas City”
62,18663,"an expressive portrait of agent, dark background, highly detailed, digital art, artstation, concept art by giger stalenhag"
63,9193,"the night of emotional portrait, nineteenth century painting masterpiece"
64,2894,"a man : : 0 8 k, hd, full - hd, ultra - hd, super - resolution, global illumination, insanely detailed and intricate, hypermaximalist, elegant, ornate, hyper realistic, super detailed"
65,27356,the postal dude vs freeman
66,17030,ancient greek people and people in business suits from 2 0 2 2
67,8414,"high quality high detail painting by john salt, brad pitt and a realistic peter griffin from family guy in a basement. light ray from a blurry window, floating dust, motion blur, gloomy, stippled walls, cinematic shot, epic, realistic, 4 k, perfectly defined features"
68,31149,donald trump
69,27835,big budget action movie about
70,14686,the end of man
71,5597,"a Propaganda image of a Tunisian man at the Ottoman Sultan,"
72,25087,"screenshot of gameplay, first person, highly detailed, highly intricate, 8 k,"
73,12488,news photo of a kpop idol
74,22235,"a close - up old black and white photo, 1 9 1 3, an ally of new york city, rule of thirds, historical record"
75,1088,"hunter s thompson, concept art, 4 k,"
76,23041,two bearded men. wide - angle. by ilya repin
77,13449,a poorly drawn sketch by a six year old
78,20876,man eating
79,29315,"closeup portrait of a female eating cakes, depth of field, zeiss lens, detailed, symmetrical, centered, fashion photoshoot, by Annie Leibovitz and Steve McCurry, David Lazar, Jimmy Nelsson, Breathtaking, 8k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render"
80,28388,"bright realistic man his girlfriend, pizza, pasta, appartment, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus"
81,20653,reconstruction of a dream using neural imagery
82,10021,"beutifull and very tired woman. Woman is looking at a wooden table, fantasy, intricate, elegant, highly detailed, digital painting,  artstation, concept art, sharp focus, illustration"
83,32709,a realistic scene while is eating
84,18501,"film still of a man with a watermelon, 4 k"
85,13280,"hyper realistic photography portrait cinematic, greg rutkowski, james gurney, mignola, craig mullins, brom redshift, vray, octane"
86,8481,"a 50 year old brunnete chinese man, dramatic, close up shot, anime art, Greg Rutkowski, studio ghibli, dramatic lighting"
87,21740,"a beautiful!!! digital painting of a woman with black eyeliner, by mandy jurgens, dang my linh, yoji shinkawa, trending on artstation"
88,30880,"close up of a girl with pretty eyes, digital art, highly detailed, trending on artstation, award winning,"
89,21639,a young woman
90,6882,"a long friend, photography, award winning photo"
91,21558,"a closeup portrait of a young icelandic man, hd, 8k, artstation"
92,18091,"very tired man looking at the table, fantasy, intricate, elegant, highly detailed, digital painting,  artstation, concept art, sharp focus, illustration"
93,590,portrait of a man lying on the beach
94,25193,"a man pointing at the screen, futuristic, comic book, sci-fi, artstation, 8k, ultradetailed"
95,24007,a new yorker style cartoon of a man cleaning a room
96,31538,"a person, intricate, ultra detailed, photorealistic, trending on artstation"
97,28734,grizzly bear
98,16459,"a max tied up with long hair, a woman with short hair is standing in the foreground"
99,28968,a realistic detailed portrait painting of a man
